hashed_uid,date,n_deadlines,has_deadline
3aa20551bd1c2cec,2013-04-08,1.0,1
b5e6aa699aa6bb40,2013-04-08,1.0,1
7afd2e21e5ddc153,2013-04-08,2.0,1
1d1e296a4fc02e87,2013-04-08,3.0,1
58545846c9a29ece,2013-04-08,2.0,1
4e2f59fcbc3d76a9,2013-04-08,1.0,1
101ed757f3ca860a,2013-04-08,1.0,1
6d0c6be247f20ca6,2013-04-08,1.0,1
5a9bc7a9bcb03436,2013-04-08,1.0,1
f87713456680124e,2013-04-08,2.0,1
7d7f0013fa01fe17,2013-04-08,1.0,1
8ef61cf03901b3d9,2013-04-08,3.0,1
26119daf181335b2,2013-04-09,0.0,0
37985280ff34ce04,2013-04-09,0.0,0
4fc7d2e42c31e91b,2013-04-09,0.0,0
5c373475c11275cb,2013-04-09,0.0,0
42a389ebb402924a,2013-04-09,0.0,0
cda188c15b09fbc7,2013-04-09,0.0,0
e6f9550c1a45e908,2013-04-09,1.0,1
bcf5858b23ad5d6c,2013-04-09,0.0,0
4c2427b7dea51ebb,2013-04-09,0.0,0
d853ba7bf3a89249,2013-04-09,0.0,0
2d18a642ead60d83,2013-04-09,1.0,1
70a978fcd4bde4c4,2013-04-09,2.0,1
9ddbeaee1439194d,2013-04-09,0.0,0
ad6e3c7b08dec18b,2013-04-09,1.0,1
02b34100f41b4332,2013-04-09,0.0,0
c8f5504447e51c4f,2013-04-09,0.0,0
83e512f8e224d35c,2013-04-09,1.0,1
94e6b5a99aff8556,2013-04-09,0.0,0
7d68780d2921e43a,2013-04-09,0.0,0
6ff3c3fb859bc4e6,2013-04-09,1.0,1
24a62f53b639939c,2013-04-09,0.0,0
640c2e12f2e99593,2013-04-09,0.0,0
04e98184146d8c31,2013-04-09,0.0,0
7ed0af9eea8919f3,2013-04-09,0.0,0
047dd3752ee95148,2013-04-09,0.0,0
b8f706e7df594c66,2013-04-09,0.0,0
c053adfef70960b7,2013-04-09,0.0,0
afc0179f4807c4d1,2013-04-09,1.0,1
84b0b4eb371de2e2,2013-04-09,1.0,1
da1b3717d0ae0754,2013-04-09,0.0,0
6c7d0efd1d78c719,2013-04-09,1.0,1
2c1946301ae0a12c,2013-04-09,0.0,0
3aa20551bd1c2cec,2013-04-09,1.0,1
b5e6aa699aa6bb40,2013-04-09,0.0,0
7afd2e21e5ddc153,2013-04-09,0.0,0
1d1e296a4fc02e87,2013-04-09,1.0,1
58545846c9a29ece,2013-04-09,0.0,0
4e2f59fcbc3d76a9,2013-04-09,1.0,1
101ed757f3ca860a,2013-04-09,0.0,0
6d0c6be247f20ca6,2013-04-09,0.0,0
5a9bc7a9bcb03436,2013-04-09,0.0,0
f87713456680124e,2013-04-09,0.0,0
7d7f0013fa01fe17,2013-04-09,0.0,0
8ef61cf03901b3d9,2013-04-09,1.0,1
26119daf181335b2,2013-04-10,0.0,0
37985280ff34ce04,2013-04-10,0.0,0
4fc7d2e42c31e91b,2013-04-10,1.0,1
5c373475c11275cb,2013-04-10,0.0,0
42a389ebb402924a,2013-04-10,1.0,1
cda188c15b09fbc7,2013-04-10,0.0,0
e6f9550c1a45e908,2013-04-10,0.0,0
bcf5858b23ad5d6c,2013-04-10,0.0,0
4c2427b7dea51ebb,2013-04-10,0.0,0
d853ba7bf3a89249,2013-04-10,1.0,1
2d18a642ead60d83,2013-04-10,0.0,0
70a978fcd4bde4c4,2013-04-10,0.0,0
9ddbeaee1439194d,2013-04-10,0.0,0
ad6e3c7b08dec18b,2013-04-10,0.0,0
02b34100f41b4332,2013-04-10,0.0,0
c8f5504447e51c4f,2013-04-10,0.0,0
83e512f8e224d35c,2013-04-10,0.0,0
94e6b5a99aff8556,2013-04-10,1.0,1
7d68780d2921e43a,2013-04-10,0.0,0
6ff3c3fb859bc4e6,2013-04-10,0.0,0
24a62f53b639939c,2013-04-10,1.0,1
640c2e12f2e99593,2013-04-10,0.0,0
04e98184146d8c31,2013-04-10,0.0,0
7ed0af9eea8919f3,2013-04-10,0.0,0
047dd3752ee95148,2013-04-10,0.0,0
b8f706e7df594c66,2013-04-10,0.0,0
c053adfef70960b7,2013-04-10,1.0,1
afc0179f4807c4d1,2013-04-10,0.0,0
84b0b4eb371de2e2,2013-04-10,0.0,0
da1b3717d0ae0754,2013-04-10,0.0,0
6c7d0efd1d78c719,2013-04-10,0.0,0
2c1946301ae0a12c,2013-04-10,0.0,0
3aa20551bd1c2cec,2013-04-10,0.0,0
b5e6aa699aa6bb40,2013-04-10,1.0,1
7afd2e21e5ddc153,2013-04-10,0.0,0
1d1e296a4fc02e87,2013-04-10,2.0,1
58545846c9a29ece,2013-04-10,0.0,0
4e2f59fcbc3d76a9,2013-04-10,0.0,0
101ed757f3ca860a,2013-04-10,0.0,0
6d0c6be247f20ca6,2013-04-10,0.0,0
5a9bc7a9bcb03436,2013-04-10,1.0,1
f87713456680124e,2013-04-10,0.0,0
7d7f0013fa01fe17,2013-04-10,0.0,0
8ef61cf03901b3d9,2013-04-10,1.0,1
26119daf181335b2,2013-04-11,0.0,0
37985280ff34ce04,2013-04-11,0.0,0
4fc7d2e42c31e91b,2013-04-11,0.0,0
5c373475c11275cb,2013-04-11,0.0,0
42a389ebb402924a,2013-04-11,0.0,0
cda188c15b09fbc7,2013-04-11,0.0,0
e6f9550c1a45e908,2013-04-11,0.0,0
bcf5858b23ad5d6c,2013-04-11,0.0,0
4c2427b7dea51ebb,2013-04-11,0.0,0
d853ba7bf3a89249,2013-04-11,0.0,0
2d18a642ead60d83,2013-04-11,0.0,0
70a978fcd4bde4c4,2013-04-11,1.0,1
9ddbeaee1439194d,2013-04-11,0.0,0
ad6e3c7b08dec18b,2013-04-11,0.0,0
02b34100f41b4332,2013-04-11,0.0,0
c8f5504447e51c4f,2013-04-11,0.0,0
83e512f8e224d35c,2013-04-11,1.0,1
94e6b5a99aff8556,2013-04-11,0.0,0
7d68780d2921e43a,2013-04-11,0.0,0
6ff3c3fb859bc4e6,2013-04-11,0.0,0
24a62f53b639939c,2013-04-11,0.0,0
640c2e12f2e99593,2013-04-11,0.0,0
04e98184146d8c31,2013-04-11,0.0,0
7ed0af9eea8919f3,2013-04-11,0.0,0
047dd3752ee95148,2013-04-11,0.0,0
b8f706e7df594c66,2013-04-11,1.0,1
c053adfef70960b7,2013-04-11,0.0,0
afc0179f4807c4d1,2013-04-11,0.0,0
84b0b4eb371de2e2,2013-04-11,0.0,0
da1b3717d0ae0754,2013-04-11,0.0,0
6c7d0efd1d78c719,2013-04-11,0.0,0
2c1946301ae0a12c,2013-04-11,0.0,0
3aa20551bd1c2cec,2013-04-11,0.0,0
b5e6aa699aa6bb40,2013-04-11,0.0,0
7afd2e21e5ddc153,2013-04-11,0.0,0
1d1e296a4fc02e87,2013-04-11,1.0,1
58545846c9a29ece,2013-04-11,0.0,0
4e2f59fcbc3d76a9,2013-04-11,0.0,0
101ed757f3ca860a,2013-04-11,0.0,0
6d0c6be247f20ca6,2013-04-11,0.0,0
5a9bc7a9bcb03436,2013-04-11,0.0,0
f87713456680124e,2013-04-11,0.0,0
7d7f0013fa01fe17,2013-04-11,0.0,0
8ef61cf03901b3d9,2013-04-11,1.0,1
26119daf181335b2,2013-04-12,0.0,0
37985280ff34ce04,2013-04-12,0.0,0
4fc7d2e42c31e91b,2013-04-12,0.0,0
5c373475c11275cb,2013-04-12,0.0,0
42a389ebb402924a,2013-04-12,0.0,0
cda188c15b09fbc7,2013-04-12,0.0,0
e6f9550c1a45e908,2013-04-12,1.0,1
bcf5858b23ad5d6c,2013-04-12,0.0,0
4c2427b7dea51ebb,2013-04-12,0.0,0
d853ba7bf3a89249,2013-04-12,1.0,1
2d18a642ead60d83,2013-04-12,0.0,0
70a978fcd4bde4c4,2013-04-12,0.0,0
9ddbeaee1439194d,2013-04-12,0.0,0
ad6e3c7b08dec18b,2013-04-12,0.0,0
02b34100f41b4332,2013-04-12,1.0,1
c8f5504447e51c4f,2013-04-12,2.0,1
83e512f8e224d35c,2013-04-12,0.0,0
94e6b5a99aff8556,2013-04-12,0.0,0
7d68780d2921e43a,2013-04-12,0.0,0
6ff3c3fb859bc4e6,2013-04-12,0.0,0
24a62f53b639939c,2013-04-12,0.0,0
640c2e12f2e99593,2013-04-12,0.0,0
04e98184146d8c31,2013-04-12,1.0,1
7ed0af9eea8919f3,2013-04-12,1.0,1
047dd3752ee95148,2013-04-12,0.0,0
b8f706e7df594c66,2013-04-12,1.0,1
c053adfef70960b7,2013-04-12,0.0,0
afc0179f4807c4d1,2013-04-12,0.0,0
84b0b4eb371de2e2,2013-04-12,0.0,0
da1b3717d0ae0754,2013-04-12,0.0,0
6c7d0efd1d78c719,2013-04-12,0.0,0
2c1946301ae0a12c,2013-04-12,0.0,0
3aa20551bd1c2cec,2013-04-12,0.0,0
b5e6aa699aa6bb40,2013-04-12,0.0,0
7afd2e21e5ddc153,2013-04-12,0.0,0
1d1e296a4fc02e87,2013-04-12,2.0,1
58545846c9a29ece,2013-04-12,0.0,0
4e2f59fcbc3d76a9,2013-04-12,0.0,0
101ed757f3ca860a,2013-04-12,0.0,0
6d0c6be247f20ca6,2013-04-12,0.0,0
5a9bc7a9bcb03436,2013-04-12,1.0,1
f87713456680124e,2013-04-12,0.0,0
7d7f0013fa01fe17,2013-04-12,0.0,0
8ef61cf03901b3d9,2013-04-12,2.0,1
26119daf181335b2,2013-04-13,0.0,0
37985280ff34ce04,2013-04-13,0.0,0
4fc7d2e42c31e91b,2013-04-13,0.0,0
5c373475c11275cb,2013-04-13,0.0,0
42a389ebb402924a,2013-04-13,0.0,0
cda188c15b09fbc7,2013-04-13,0.0,0
e6f9550c1a45e908,2013-04-13,0.0,0
bcf5858b23ad5d6c,2013-04-13,0.0,0
4c2427b7dea51ebb,2013-04-13,0.0,0
d853ba7bf3a89249,2013-04-13,0.0,0
2d18a642ead60d83,2013-04-13,0.0,0
70a978fcd4bde4c4,2013-04-13,0.0,0
9ddbeaee1439194d,2013-04-13,0.0,0
ad6e3c7b08dec18b,2013-04-13,0.0,0
02b34100f41b4332,2013-04-13,0.0,0
c8f5504447e51c4f,2013-04-13,0.0,0
83e512f8e224d35c,2013-04-13,0.0,0
94e6b5a99aff8556,2013-04-13,0.0,0
7d68780d2921e43a,2013-04-13,0.0,0
6ff3c3fb859bc4e6,2013-04-13,0.0,0
24a62f53b639939c,2013-04-13,0.0,0
640c2e12f2e99593,2013-04-13,0.0,0
04e98184146d8c31,2013-04-13,0.0,0
7ed0af9eea8919f3,2013-04-13,0.0,0
047dd3752ee95148,2013-04-13,0.0,0
b8f706e7df594c66,2013-04-13,0.0,0
c053adfef70960b7,2013-04-13,0.0,0
afc0179f4807c4d1,2013-04-13,0.0,0
84b0b4eb371de2e2,2013-04-13,0.0,0
da1b3717d0ae0754,2013-04-13,0.0,0
6c7d0efd1d78c719,2013-04-13,0.0,0
2c1946301ae0a12c,2013-04-13,0.0,0
3aa20551bd1c2cec,2013-04-13,0.0,0
b5e6aa699aa6bb40,2013-04-13,0.0,0
7afd2e21e5ddc153,2013-04-13,0.0,0
1d1e296a4fc02e87,2013-04-13,0.0,0
58545846c9a29ece,2013-04-13,0.0,0
4e2f59fcbc3d76a9,2013-04-13,0.0,0
101ed757f3ca860a,2013-04-13,0.0,0
6d0c6be247f20ca6,2013-04-13,0.0,0
5a9bc7a9bcb03436,2013-04-13,0.0,0
f87713456680124e,2013-04-13,0.0,0
7d7f0013fa01fe17,2013-04-13,0.0,0
8ef61cf03901b3d9,2013-04-13,0.0,0
26119daf181335b2,2013-04-14,0.0,0
37985280ff34ce04,2013-04-14,0.0,0
4fc7d2e42c31e91b,2013-04-14,0.0,0
5c373475c11275cb,2013-04-14,0.0,0
42a389ebb402924a,2013-04-14,0.0,0
cda188c15b09fbc7,2013-04-14,0.0,0
e6f9550c1a45e908,2013-04-14,0.0,0
bcf5858b23ad5d6c,2013-04-14,0.0,0
4c2427b7dea51ebb,2013-04-14,0.0,0
d853ba7bf3a89249,2013-04-14,0.0,0
2d18a642ead60d83,2013-04-14,0.0,0
70a978fcd4bde4c4,2013-04-14,0.0,0
9ddbeaee1439194d,2013-04-14,0.0,0
ad6e3c7b08dec18b,2013-04-14,0.0,0
02b34100f41b4332,2013-04-14,0.0,0
c8f5504447e51c4f,2013-04-14,0.0,0
83e512f8e224d35c,2013-04-14,0.0,0
94e6b5a99aff8556,2013-04-14,0.0,0
7d68780d2921e43a,2013-04-14,0.0,0
6ff3c3fb859bc4e6,2013-04-14,0.0,0
24a62f53b639939c,2013-04-14,0.0,0
640c2e12f2e99593,2013-04-14,0.0,0
04e98184146d8c31,2013-04-14,0.0,0
7ed0af9eea8919f3,2013-04-14,0.0,0
047dd3752ee95148,2013-04-14,0.0,0
b8f706e7df594c66,2013-04-14,0.0,0
c053adfef70960b7,2013-04-14,0.0,0
afc0179f4807c4d1,2013-04-14,0.0,0
84b0b4eb371de2e2,2013-04-14,0.0,0
da1b3717d0ae0754,2013-04-14,0.0,0
6c7d0efd1d78c719,2013-04-14,0.0,0
2c1946301ae0a12c,2013-04-14,0.0,0
3aa20551bd1c2cec,2013-04-14,0.0,0
b5e6aa699aa6bb40,2013-04-14,0.0,0
7afd2e21e5ddc153,2013-04-14,0.0,0
1d1e296a4fc02e87,2013-04-14,0.0,0
58545846c9a29ece,2013-04-14,0.0,0
4e2f59fcbc3d76a9,2013-04-14,0.0,0
101ed757f3ca860a,2013-04-14,0.0,0
6d0c6be247f20ca6,2013-04-14,0.0,0
5a9bc7a9bcb03436,2013-04-14,0.0,0
f87713456680124e,2013-04-14,0.0,0
7d7f0013fa01fe17,2013-04-14,0.0,0
8ef61cf03901b3d9,2013-04-14,0.0,0
26119daf181335b2,2013-04-15,1.0,1
37985280ff34ce04,2013-04-15,1.0,1
4fc7d2e42c31e91b,2013-04-15,1.0,1
5c373475c11275cb,2013-04-15,1.0,1
42a389ebb402924a,2013-04-15,1.0,1
cda188c15b09fbc7,2013-04-15,2.0,1
e6f9550c1a45e908,2013-04-15,1.0,1
bcf5858b23ad5d6c,2013-04-15,1.0,1
4c2427b7dea51ebb,2013-04-15,1.0,1
d853ba7bf3a89249,2013-04-15,1.0,1
2d18a642ead60d83,2013-04-15,1.0,1
70a978fcd4bde4c4,2013-04-15,1.0,1
9ddbeaee1439194d,2013-04-15,1.0,1
ad6e3c7b08dec18b,2013-04-15,1.0,1
02b34100f41b4332,2013-04-15,1.0,1
c8f5504447e51c4f,2013-04-15,2.0,1
83e512f8e224d35c,2013-04-15,1.0,1
94e6b5a99aff8556,2013-04-15,1.0,1
7d68780d2921e43a,2013-04-15,1.0,1
6ff3c3fb859bc4e6,2013-04-15,1.0,1
24a62f53b639939c,2013-04-15,2.0,1
640c2e12f2e99593,2013-04-15,1.0,1
04e98184146d8c31,2013-04-15,1.0,1
7ed0af9eea8919f3,2013-04-15,1.0,1
047dd3752ee95148,2013-04-15,1.0,1
b8f706e7df594c66,2013-04-15,1.0,1
c053adfef70960b7,2013-04-15,1.0,1
afc0179f4807c4d1,2013-04-15,1.0,1
84b0b4eb371de2e2,2013-04-15,1.0,1
da1b3717d0ae0754,2013-04-15,1.0,1
6c7d0efd1d78c719,2013-04-15,1.0,1
2c1946301ae0a12c,2013-04-15,2.0,1
3aa20551bd1c2cec,2013-04-15,1.0,1
b5e6aa699aa6bb40,2013-04-15,1.0,1
7afd2e21e5ddc153,2013-04-15,2.0,1
1d1e296a4fc02e87,2013-04-15,3.0,1
58545846c9a29ece,2013-04-15,2.0,1
4e2f59fcbc3d76a9,2013-04-15,1.0,1
101ed757f3ca860a,2013-04-15,1.0,1
6d0c6be247f20ca6,2013-04-15,1.0,1
5a9bc7a9bcb03436,2013-04-15,1.0,1
f87713456680124e,2013-04-15,2.0,1
7d7f0013fa01fe17,2013-04-15,1.0,1
8ef61cf03901b3d9,2013-04-15,3.0,1
26119daf181335b2,2013-04-16,0.0,0
37985280ff34ce04,2013-04-16,1.0,1
4fc7d2e42c31e91b,2013-04-16,0.0,0
5c373475c11275cb,2013-04-16,0.0,0
42a389ebb402924a,2013-04-16,1.0,1
cda188c15b09fbc7,2013-04-16,1.0,1
e6f9550c1a45e908,2013-04-16,0.0,0
bcf5858b23ad5d6c,2013-04-16,0.0,0
4c2427b7dea51ebb,2013-04-16,1.0,1
d853ba7bf3a89249,2013-04-16,1.0,1
2d18a642ead60d83,2013-04-16,0.0,0
70a978fcd4bde4c4,2013-04-16,1.0,1
9ddbeaee1439194d,2013-04-16,0.0,0
ad6e3c7b08dec18b,2013-04-16,0.0,0
02b34100f41b4332,2013-04-16,0.0,0
c8f5504447e51c4f,2013-04-16,0.0,0
83e512f8e224d35c,2013-04-16,2.0,1
94e6b5a99aff8556,2013-04-16,0.0,0
7d68780d2921e43a,2013-04-16,1.0,1
6ff3c3fb859bc4e6,2013-04-16,0.0,0
24a62f53b639939c,2013-04-16,0.0,0
640c2e12f2e99593,2013-04-16,0.0,0
04e98184146d8c31,2013-04-16,0.0,0
7ed0af9eea8919f3,2013-04-16,1.0,1
047dd3752ee95148,2013-04-16,1.0,1
b8f706e7df594c66,2013-04-16,0.0,0
c053adfef70960b7,2013-04-16,0.0,0
afc0179f4807c4d1,2013-04-16,0.0,0
84b0b4eb371de2e2,2013-04-16,0.0,0
da1b3717d0ae0754,2013-04-16,1.0,1
6c7d0efd1d78c719,2013-04-16,0.0,0
2c1946301ae0a12c,2013-04-16,0.0,0
3aa20551bd1c2cec,2013-04-16,0.0,0
b5e6aa699aa6bb40,2013-04-16,1.0,1
7afd2e21e5ddc153,2013-04-16,0.0,0
1d1e296a4fc02e87,2013-04-16,1.0,1
58545846c9a29ece,2013-04-16,0.0,0
4e2f59fcbc3d76a9,2013-04-16,0.0,0
101ed757f3ca860a,2013-04-16,1.0,1
6d0c6be247f20ca6,2013-04-16,0.0,0
5a9bc7a9bcb03436,2013-04-16,0.0,0
f87713456680124e,2013-04-16,0.0,0
7d7f0013fa01fe17,2013-04-16,0.0,0
8ef61cf03901b3d9,2013-04-16,1.0,1
26119daf181335b2,2013-04-17,0.0,0
37985280ff34ce04,2013-04-17,0.0,0
4fc7d2e42c31e91b,2013-04-17,1.0,1
5c373475c11275cb,2013-04-17,0.0,0
42a389ebb402924a,2013-04-17,0.0,0
cda188c15b09fbc7,2013-04-17,0.0,0
e6f9550c1a45e908,2013-04-17,0.0,0
bcf5858b23ad5d6c,2013-04-17,0.0,0
4c2427b7dea51ebb,2013-04-17,1.0,1
d853ba7bf3a89249,2013-04-17,0.0,0
2d18a642ead60d83,2013-04-17,0.0,0
70a978fcd4bde4c4,2013-04-17,0.0,0
9ddbeaee1439194d,2013-04-17,0.0,0
ad6e3c7b08dec18b,2013-04-17,0.0,0
02b34100f41b4332,2013-04-17,0.0,0
c8f5504447e51c4f,2013-04-17,0.0,0
83e512f8e224d35c,2013-04-17,0.0,0
94e6b5a99aff8556,2013-04-17,1.0,1
7d68780d2921e43a,2013-04-17,0.0,0
6ff3c3fb859bc4e6,2013-04-17,0.0,0
24a62f53b639939c,2013-04-17,0.0,0
640c2e12f2e99593,2013-04-17,0.0,0
04e98184146d8c31,2013-04-17,0.0,0
7ed0af9eea8919f3,2013-04-17,0.0,0
047dd3752ee95148,2013-04-17,0.0,0
b8f706e7df594c66,2013-04-17,1.0,1
c053adfef70960b7,2013-04-17,2.0,1
afc0179f4807c4d1,2013-04-17,0.0,0
84b0b4eb371de2e2,2013-04-17,0.0,0
da1b3717d0ae0754,2013-04-17,0.0,0
6c7d0efd1d78c719,2013-04-17,0.0,0
2c1946301ae0a12c,2013-04-17,0.0,0
3aa20551bd1c2cec,2013-04-17,0.0,0
b5e6aa699aa6bb40,2013-04-17,0.0,0
7afd2e21e5ddc153,2013-04-17,0.0,0
1d1e296a4fc02e87,2013-04-17,2.0,1
58545846c9a29ece,2013-04-17,0.0,0
4e2f59fcbc3d76a9,2013-04-17,0.0,0
101ed757f3ca860a,2013-04-17,0.0,0
6d0c6be247f20ca6,2013-04-17,0.0,0
5a9bc7a9bcb03436,2013-04-17,2.0,1
f87713456680124e,2013-04-17,0.0,0
7d7f0013fa01fe17,2013-04-17,0.0,0
8ef61cf03901b3d9,2013-04-17,1.0,1
26119daf181335b2,2013-04-18,0.0,0
37985280ff34ce04,2013-04-18,0.0,0
4fc7d2e42c31e91b,2013-04-18,0.0,0
5c373475c11275cb,2013-04-18,0.0,0
42a389ebb402924a,2013-04-18,0.0,0
cda188c15b09fbc7,2013-04-18,0.0,0
e6f9550c1a45e908,2013-04-18,0.0,0
bcf5858b23ad5d6c,2013-04-18,0.0,0
4c2427b7dea51ebb,2013-04-18,0.0,0
d853ba7bf3a89249,2013-04-18,1.0,1
2d18a642ead60d83,2013-04-18,0.0,0
70a978fcd4bde4c4,2013-04-18,2.0,1
9ddbeaee1439194d,2013-04-18,0.0,0
ad6e3c7b08dec18b,2013-04-18,1.0,1
02b34100f41b4332,2013-04-18,0.0,0
c8f5504447e51c4f,2013-04-18,0.0,0
83e512f8e224d35c,2013-04-18,1.0,1
94e6b5a99aff8556,2013-04-18,0.0,0
7d68780d2921e43a,2013-04-18,0.0,0
6ff3c3fb859bc4e6,2013-04-18,0.0,0
24a62f53b639939c,2013-04-18,0.0,0
640c2e12f2e99593,2013-04-18,0.0,0
04e98184146d8c31,2013-04-18,1.0,1
7ed0af9eea8919f3,2013-04-18,0.0,0
047dd3752ee95148,2013-04-18,0.0,0
b8f706e7df594c66,2013-04-18,0.0,0
c053adfef70960b7,2013-04-18,0.0,0
afc0179f4807c4d1,2013-04-18,0.0,0
84b0b4eb371de2e2,2013-04-18,0.0,0
da1b3717d0ae0754,2013-04-18,0.0,0
6c7d0efd1d78c719,2013-04-18,0.0,0
2c1946301ae0a12c,2013-04-18,0.0,0
3aa20551bd1c2cec,2013-04-18,0.0,0
b5e6aa699aa6bb40,2013-04-18,0.0,0
7afd2e21e5ddc153,2013-04-18,0.0,0
1d1e296a4fc02e87,2013-04-18,2.0,1
58545846c9a29ece,2013-04-18,0.0,0
4e2f59fcbc3d76a9,2013-04-18,0.0,0
101ed757f3ca860a,2013-04-18,0.0,0
6d0c6be247f20ca6,2013-04-18,0.0,0
5a9bc7a9bcb03436,2013-04-18,0.0,0
f87713456680124e,2013-04-18,0.0,0
7d7f0013fa01fe17,2013-04-18,0.0,0
8ef61cf03901b3d9,2013-04-18,1.0,1
26119daf181335b2,2013-04-19,0.0,0
37985280ff34ce04,2013-04-19,0.0,0
4fc7d2e42c31e91b,2013-04-19,1.0,1
5c373475c11275cb,2013-04-19,0.0,0
42a389ebb402924a,2013-04-19,0.0,0
cda188c15b09fbc7,2013-04-19,0.0,0
e6f9550c1a45e908,2013-04-19,0.0,0
bcf5858b23ad5d6c,2013-04-19,0.0,0
4c2427b7dea51ebb,2013-04-19,0.0,0
d853ba7bf3a89249,2013-04-19,0.0,0
2d18a642ead60d83,2013-04-19,0.0,0
70a978fcd4bde4c4,2013-04-19,0.0,0
9ddbeaee1439194d,2013-04-19,0.0,0
ad6e3c7b08dec18b,2013-04-19,0.0,0
02b34100f41b4332,2013-04-19,0.0,0
c8f5504447e51c4f,2013-04-19,1.0,1
83e512f8e224d35c,2013-04-19,0.0,0
94e6b5a99aff8556,2013-04-19,1.0,1
7d68780d2921e43a,2013-04-19,0.0,0
6ff3c3fb859bc4e6,2013-04-19,0.0,0
24a62f53b639939c,2013-04-19,0.0,0
640c2e12f2e99593,2013-04-19,0.0,0
04e98184146d8c31,2013-04-19,2.0,1
7ed0af9eea8919f3,2013-04-19,1.0,1
047dd3752ee95148,2013-04-19,0.0,0
b8f706e7df594c66,2013-04-19,1.0,1
c053adfef70960b7,2013-04-19,0.0,0
afc0179f4807c4d1,2013-04-19,0.0,0
84b0b4eb371de2e2,2013-04-19,0.0,0
da1b3717d0ae0754,2013-04-19,0.0,0
6c7d0efd1d78c719,2013-04-19,0.0,0
2c1946301ae0a12c,2013-04-19,0.0,0
3aa20551bd1c2cec,2013-04-19,0.0,0
b5e6aa699aa6bb40,2013-04-19,0.0,0
7afd2e21e5ddc153,2013-04-19,0.0,0
1d1e296a4fc02e87,2013-04-19,2.0,1
58545846c9a29ece,2013-04-19,0.0,0
4e2f59fcbc3d76a9,2013-04-19,0.0,0
101ed757f3ca860a,2013-04-19,0.0,0
6d0c6be247f20ca6,2013-04-19,0.0,0
5a9bc7a9bcb03436,2013-04-19,1.0,1
f87713456680124e,2013-04-19,0.0,0
7d7f0013fa01fe17,2013-04-19,0.0,0
8ef61cf03901b3d9,2013-04-19,2.0,1
26119daf181335b2,2013-04-20,0.0,0
37985280ff34ce04,2013-04-20,0.0,0
4fc7d2e42c31e91b,2013-04-20,0.0,0
5c373475c11275cb,2013-04-20,0.0,0
42a389ebb402924a,2013-04-20,0.0,0
cda188c15b09fbc7,2013-04-20,0.0,0
e6f9550c1a45e908,2013-04-20,0.0,0
bcf5858b23ad5d6c,2013-04-20,0.0,0
4c2427b7dea51ebb,2013-04-20,0.0,0
d853ba7bf3a89249,2013-04-20,0.0,0
2d18a642ead60d83,2013-04-20,0.0,0
70a978fcd4bde4c4,2013-04-20,0.0,0
9ddbeaee1439194d,2013-04-20,0.0,0
ad6e3c7b08dec18b,2013-04-20,0.0,0
02b34100f41b4332,2013-04-20,0.0,0
c8f5504447e51c4f,2013-04-20,0.0,0
83e512f8e224d35c,2013-04-20,0.0,0
94e6b5a99aff8556,2013-04-20,0.0,0
7d68780d2921e43a,2013-04-20,0.0,0
6ff3c3fb859bc4e6,2013-04-20,0.0,0
24a62f53b639939c,2013-04-20,0.0,0
640c2e12f2e99593,2013-04-20,0.0,0
04e98184146d8c31,2013-04-20,0.0,0
7ed0af9eea8919f3,2013-04-20,0.0,0
047dd3752ee95148,2013-04-20,0.0,0
b8f706e7df594c66,2013-04-20,0.0,0
c053adfef70960b7,2013-04-20,0.0,0
afc0179f4807c4d1,2013-04-20,0.0,0
84b0b4eb371de2e2,2013-04-20,0.0,0
da1b3717d0ae0754,2013-04-20,0.0,0
6c7d0efd1d78c719,2013-04-20,0.0,0
2c1946301ae0a12c,2013-04-20,0.0,0
3aa20551bd1c2cec,2013-04-20,0.0,0
b5e6aa699aa6bb40,2013-04-20,0.0,0
7afd2e21e5ddc153,2013-04-20,0.0,0
1d1e296a4fc02e87,2013-04-20,0.0,0
58545846c9a29ece,2013-04-20,0.0,0
4e2f59fcbc3d76a9,2013-04-20,0.0,0
101ed757f3ca860a,2013-04-20,0.0,0
6d0c6be247f20ca6,2013-04-20,0.0,0
5a9bc7a9bcb03436,2013-04-20,0.0,0
f87713456680124e,2013-04-20,0.0,0
7d7f0013fa01fe17,2013-04-20,0.0,0
8ef61cf03901b3d9,2013-04-20,0.0,0
26119daf181335b2,2013-04-21,0.0,0
37985280ff34ce04,2013-04-21,0.0,0
4fc7d2e42c31e91b,2013-04-21,0.0,0
5c373475c11275cb,2013-04-21,0.0,0
42a389ebb402924a,2013-04-21,0.0,0
cda188c15b09fbc7,2013-04-21,0.0,0
e6f9550c1a45e908,2013-04-21,0.0,0
bcf5858b23ad5d6c,2013-04-21,0.0,0
4c2427b7dea51ebb,2013-04-21,0.0,0
d853ba7bf3a89249,2013-04-21,0.0,0
2d18a642ead60d83,2013-04-21,0.0,0
70a978fcd4bde4c4,2013-04-21,0.0,0
9ddbeaee1439194d,2013-04-21,0.0,0
ad6e3c7b08dec18b,2013-04-21,0.0,0
02b34100f41b4332,2013-04-21,0.0,0
c8f5504447e51c4f,2013-04-21,0.0,0
83e512f8e224d35c,2013-04-21,0.0,0
94e6b5a99aff8556,2013-04-21,0.0,0
7d68780d2921e43a,2013-04-21,0.0,0
6ff3c3fb859bc4e6,2013-04-21,0.0,0
24a62f53b639939c,2013-04-21,0.0,0
